v1,v2,,,
ham,If you have belive me. Come to my home.,,,
ham,O we cant see if we can join denis and mina? Or does denis want alone time,,,
ham,I'm reaching home in 5 min.,,,
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,,,
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,,,
ham,All e best 4 ur driving tmr :-),,,
ham,I send the print  outs da.,,,
ham,But you dint in touch with me.,,,
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,,,
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
ham,Once free call me sir. I am waiting for you.,,,
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.,,,
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,,,
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,,,
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",,,
ham,"Same, I'm at my great aunts anniversary party in tarpon springs",,,
ham,I think it's all still in my car,,,
ham,Mm feeling sleepy. today itself i shall get that dear,,,
spam,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,,,
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",,,
ham,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply"," \""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......""",,
ham,Aiyar sorry lor forgot 2 tell u...,,,
ham,3 pa but not selected.,,,
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
ham,I am not at all happy with what you saying or doing,,,
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",,,
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,
ham,Am going to take bath ill place the key in window:-),,,
ham,Love you aathi..love u lot..,,,
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,,,
ham,I did. One slice and one breadstick. Lol,,,
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,,,
ham,Really good:)dhanush rocks once again:),,,
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,,,
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",,,
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,,,
ham,K I'll call you when I'm close,,,
ham,I will lick up every drop :) are you ready to use your mouth as well?,,,
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",,,
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",,,
ham,"Sir, I am waiting for your mail.",,,
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
ham,Sitting ard nothing to do lor. U leh busy w work?,,,
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,,,
ham,Teach me apps da. When you come to college.,,,
ham,There is no sense in my foot and penis.,,,
ham,"I think IÛ÷m waiting for the same bus! Inform me when you get there, if you ever get there.",,,
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,,,
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,,,
ham,"As in missionary hook up, doggy hook up, standing...|",,,
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
ham,Prepare to be pounded every night...,,,
ham,Stupid auto correct on my phone,,,
ham,Cuz ibored. And don wanna study,,,
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,,,
ham,Hey morning what you come to ask:-) pa...,,,
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",,,
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,,,
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,,,
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,,,
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",,,
ham,meet you in corporation st outside gap Û_ you can see how my mind is working!,,,
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,,,
ham,Yup n her fren lor. I'm meeting my fren at 730.,,,
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,,,
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
ham,Ok i'm coming home now.,,,
ham,Yes:)sura in sun tv.:)lol.,,,
ham,We still on for tonight?,,,
