v1,v2,,,
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,,,
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,,,
spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,,,
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,,
spam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,,,
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
spam,Win a å£1000 cash prize or a prize worth å£5000,,,
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",,,
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",,,
spam,tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",,,
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082,,,
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",,,
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,,,
spam,88800 and 89034 are premium phone services call 08718711108,,,
ham,Ok lor...,,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,You can jot down things you want to remember later.,,,
ham,Oh k.i think most of wi and nz players unsold.,,,
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,,,
ham,Oh k:)after that placement there ah?,,,
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,,,
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",,,
ham,Wish i were with you now!,,,
ham, and  picking them up from various points,,,
ham,Do u noe how 2 send files between 2 computers?,,,
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",,,
ham,I wish u were here. I feel so alone,,,
ham,I am not at all happy with what you saying or doing,,,
spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890å£1.50 per msg,,,
ham,"Lol, oh you got a friend for the dog ?",,,
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,,,
ham,"Thanks, I'll keep that in mind",,,
ham,Argh why the fuck is nobody in town ;_;,,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
ham,You know what hook up means right?,,,
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!,,,
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,,,
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,,,
ham,"And how you will do that, princess? :)",,,
ham,Jesus armand really is trying to tell everybody he can find,,,
ham,"Come round, it's . ",,,
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
ham,Also remember the beads don't come off. Ever.,,,
ham,"That's cool he'll be here all night, lemme know when you're around",,,
ham,Yup n her fren lor. I'm meeting my fren at 730.,,,
ham,"I just got home babe, are you still awake ?",,,
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,,,
ham,Thnx dude. u guys out 2nite?,,,
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
ham,Yeah get the unlimited,,,
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",,,
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
ham,I'm at home n ready...,,,
ham,Yeah my usual guy's out of town but there're definitely people around I know,,,
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",,,
ham,Lol now I'm after that hot air balloon!,,,
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Dear are you angry i was busy dear,,,
ham,Dont talk to him ever ok its my word.,,,
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,,,
ham,Yar else i'll thk of all sorts of funny things.,,,
ham,Ok i've sent u da latest version of da project.,,,
ham,Are you this much buzy,,,
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",,,
ham,We left already we at orchard now.,,,
ham,Correct. So how was work today,,,
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",,,
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,,,
ham,"Yo, you around? Just got my car back",,,
spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",,,
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
ham,We're done...,,,
ham,Hey morning what you come to ask:-) pa...,,,
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",,,
ham,Dude sux for snake. He got old and raiden got buff,,,
ham,Er yep sure. Props?,,,
ham,No..its ful of song lyrics..,,,
ham,That depends. How would you like to be treated? :),,,
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,,,
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",,,
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,,,
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,,,
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing,,,
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",,,
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",,,
ham,I anything lor.,,,
ham,"Just dropped em off, omw back now",,,
ham,When you guys planning on coming over?,,,
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",,,
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",,,
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
ham,Anything...,,,
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
ham,I hope you know I'm still mad at you.,,,
ham,Taka lor. Wat time u wan 2 come n look 4 us?,,,
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,,,
ham,"Sir Goodmorning, Once free call me.",,,
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
ham,I'm aight. Wat's happening on your side.,,,
ham,Gud mrng dear hav a nice day,,,
ham,Dare i ask... Any luck with sorting out the car?,,,
ham,K...k:)why cant you come here and search job:),,,
ham,"Ok da, i already planned. I wil pick you.",,,
ham,Sitting ard nothing to do lor. U leh busy w work?,,,
ham,Prakesh is there know.,,,
ham,Yes:)sura in sun tv.:)lol.,,,
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,,,
ham,What * u wearing?,,,
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",,,
ham,Geeeee ... I love you so much I can barely stand it,,,
ham,I want snow. It's just freezing and windy.,,,
ham,Yes but I don't care cause I know its there!,,,
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",,,
ham,Then ur physics get a-?,,,
ham,"Its good, we'll find a way",,,
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,
ham,I know a few people I can hit up and fuck to the yes,,,
ham,ARR birthday today:) i wish him to get more oscar.,,,
ham,Sorry about that this is my mates phone and i didnt write it love Kate,,,
spam,UÛªve Bin Awarded å£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min å£50-å£500. OptOut 08718727870,,,
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",,,
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",,,
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,,,
ham,Thanks for this hope you had a good day today,,,
ham,Dude we should go sup again,,,
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,,,
ham,I'm on da bus going home...,,,
ham,I'll text now! All creepy like so he won't think that we forgot,,,
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,,,
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",,,
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,,,
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore",,,
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.,,,
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,,
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",,,
ham,That's my honeymoon outfit. :),,,
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,,,
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,,,
ham,I've not sent it. He can send me.,,,
ham,Have you always been saying welp?,,,
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,,,
ham,Oh ho. Is this the first time u use these type of words,,,
ham,Ya even those cookies have jelly on them,,,
ham,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON," CALL 2MWEN IM BK FRMCLOUD 9! J X\"""""
ham,"I can't, I don't have her number!",,,
ham,Watching telugu movie..wat abt u?,,,
ham,That day you asked about anand number. Why:-),,,
ham,Booked ticket for pongal?,,,
ham,I'm at home. Please call,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,Hey come online! Use msn... We are all there,,,
ham,Oh thanks a lot..i already bought 2 eggs ..,,,
ham,I was just callin to say hi. Take care bruv!,,,
ham,"Ta-Daaaaa! I am home babe, are you still up ?",,,
ham,"Aight that'll work, thanks",,,
ham,"Cool, I'll text you when I'm on the way",,,
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",,,
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,,
ham,Love you aathi..love u lot..,,,
ham,"Just wondering, the others just took off",,,
ham,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
ham,I wont touch you with out your permission.,,,
ham,When are you going to ride your bike?,,,
ham,Dude how do you like the buff wind.,,,
ham,Wa... U so efficient... Gee... Thanx...,,,
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,,,
ham,K tell me anything about you.,,,
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"," I'll come up""",,
ham,"If e timing can, then i go w u lor...",,,
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,,,
ham,"No I'm good for the movie, is it ok if I leave in an hourish?",,,
ham,"Theoretically yeah, he could be able to come",,,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,,,
ham,Do you like Italian food?,,,
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,,,
ham,"Cool, I'll text you in a few",,,
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL,,,
ham,Will be out of class in a few hours. Sorry,,,
ham,Have a good evening! Ttyl,,,
ham,Nice.nice.how is it working?,,,
ham,So u gonna get deus ex?,,,
ham,U 2.,,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
ham,What type of stuff do you sing?,,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,,,
ham,Whens your radio show?,,,
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",,,
ham,* You gonna ring this weekend or wot?,,,
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",,,
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",,,
ham,You are gorgeous! keep those pix cumming :) thank you!,,,
ham,"Almost there, see u in a sec",,,
ham,Asking do u knw them or nt? May be ur frnds or classmates?,,,
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",,,
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
ham,Remember to ask alex about his pizza,,,
